Tallformatet viser til kolonnenummer:
0=PowerA, 1=PowerB, 
2=e, 3=TVa, 4=TVb, 5=IAE, 6=MAE, 7=u, 8=o, 
0.0,0.0,0,0,0,0,0,0,0
-0.2734375,0.2734375,-1,0,0,0.0,0,26,0.707106781187
-0.2734375,0.2734375,-1,0.2734375,0.2734375,0.0782449245453,0,26,1.15470053838
-0.2734375,0.2734375,0,0.2734375,0.2734375,0.160646915436,0,26,1.0
-0.2734375,0.2734375,-1,0.2734375,0.2734375,0.160646915436,0,26,1.3416407865
-0.2734375,0.2734375,-1,0.2734375,0.2734375,0.233641862869,0,26,1.63299316186
-0.2734375,0.2734375,-1,0.2734375,0.2734375,0.295778989792,0,26,1.88982236505
-0.2734375,0.2734375,-1,0.2734375,0.2734375,0.385507822037,0,26,2.12132034356
-0.2734375,0.2734375,-1,0.2734375,0.2734375,0.474556922913,0,26,2.33333333333
-0.2734375,0.2734375,-1,0.2734375,0.2734375,0.555782794952,0,26,2.52982212813
-0.2734375,0.2734375,-1,0.2734375,0.2734375,0.625432014465,0,26,2.7136021012
-0.2734375,0.2734375,-1,0.2734375,0.2734375,0.699280023575,0,26,2.88675134595
-0.2734375,0.2734375,-1,0.2734375,0.2734375,0.773455858231,0,26,3.05085107924
-0.2734375,0.2734375,-1,0.2734375,0.2734375,0.845898866653,0,26,3.20713490295
-0.2734375,0.2734375,-1,0.2734375,0.2734375,0.909195899963,0,26,3.35658556671
5.3515625,5.5859375,-1,0.2734375,0.2734375,0.987804889679,0,26,3.5
7.01171875,7.24609375,-1,5.8984375,5.5859375,1.06057882309,0,26,3.63803437554
6.42578125,6.66015625,-1,7.55859375,7.24609375,1.1455988884,0,26,3.77123616633
6.42578125,6.66015625,-1,8.14453125,7.83203125,1.21942996979,0,26,3.9000674758
6.42578125,6.66015625,-1,8.14453125,7.83203125,1.29784488678,0,26,4.0249223595
6.42578125,6.66015625,-1,8.14453125,7.83203125,1.37509894371,0,26,4.14613991448
6.42578125,6.66015625,0,8.14453125,7.83203125,1.46380090714,0,26,4.05081361076
4.1796875,4.4140625,-1,8.14453125,7.83203125,1.46380090714,0,26,4.17028828114
4.5703125,4.8046875,-1,10.390625,10.078125,1.54372191429,0,26,4.28660704987
3.59375,3.828125,-1,10.78125,10.46875,1.63773798943,0,26,4.4
2.2265625,2.4609375,0,11.7578125,11.4453125,1.72373795509,0,26,4.31455497304
2.2265625,2.4609375,-1,13.125,12.8125,1.72373795509,0,26,4.42635206379
2.2265625,2.4609375,0,13.125,12.8125,1.81975293159,0,26,4.34659143961
2.421875,2.65625,-1,13.125,12.8125,1.81975293159,0,26,4.45668811625
2.51953125,2.75390625,0,13.3203125,13.0078125,1.90578889847,0,26,4.38178046004
2.51953125,2.75390625,-1,13.41796875,13.10546875,1.90578889847,0,26,4.49013255067
2.51953125,2.75390625,-1,13.41796875,13.10546875,1.998005867,0,26,4.59619407771
2.51953125,2.75390625,-1,13.41796875,13.10546875,2.09404277802,0,26,4.7000967108
2.51953125,2.75390625,-1,13.41796875,13.10546875,2.19018793106,0,26,4.80196038399
2.01171875,3.26171875,0,13.41796875,13.10546875,2.28920197487,0,26,4.73286382648
0.52734375,0.83984375,0,13.92578125,13.61328125,2.28920197487,0,26,4.66666666667
0.41015625,0.56640625,0,15.41015625,16.03515625,2.28920197487,0,26,4.60317164455
0.41015625,0.56640625,-1,15.52734375,16.30859375,2.28920197487,0,26,4.70442121279
0.41015625,0.56640625,-1,15.52734375,16.30859375,2.39414286613,0,26,4.80384461415
0.3125,0.46875,0,15.52734375,16.30859375,2.49459004402,0,26,4.74341649025
0.3125,0.46875,-1,15.625,16.40625,2.49459004402,0,26,4.84138661855
0.3125,0.46875,-1,15.625,16.40625,2.59719395638,0,26,4.93770719879
0.3125,0.46875,-1,15.625,16.40625,2.69153690338,0,26,5.03245282098
1.796875,-1.015625,0,15.625,16.40625,2.79065895081,0,26,4.97493718553
3.7890625,3.2421875,0,17.109375,17.890625,2.79065895081,0,26,4.9193495505
5.546875,5.390625,0,19.1015625,22.1484375,2.79065895081,0,26,4.86558455311
8.41796875,8.57421875,0,20.859375,24.296875,2.79065895081,0,26,4.81354471943
11.25,11.40625,-1,23.73046875,27.48046875,2.79065895081,0,26,4.90747728811
20.0,19.0625,0,26.5625,30.3125,2.88612103462,0,26,4.85714285714
24.12109375,22.55859375,0,35.3125,37.96875,2.88612103462,0,26,4.80832611207
24.375,24.0625,1,39.43359375,41.46484375,2.88612103462,0,26,4.9009802941
24.2578125,24.1796875,3,39.6875,42.96875,2.97802114487,0,26,6.10170215848
18.28125,18.4375,6,39.8046875,43.0859375,3.26828622818,0,26,10.9888451159
